"","code","name","pubpriv","enrollment","allvaccs","conditional","medical","religious","dptMiss","polMiss","mmrMiss","hepMiss","varMiss"
"1658",6115943,"SHIRAKAWA (GEORGE, SR.) ELEMENTARY","PUBLIC",90,71.1111111111111,28.8888888888889,0,0,17.7777777777778,13.3333333333333,17.7777777777778,15.5555555555556,14.4444444444444
"4473",6040265,"WASHINGTON ELEMENTARY","PUBLIC",67,79.1044776119403,19.4029850746269,1.49253731343284,0,19.4029850746269,19.4029850746269,20.8955223880597,4.47761194029851,7.46268656716418
"2080",6032163,"GLEN AVON ELEMENTARY","PUBLIC",87,97.7011494252874,2.29885057471264,0,0,2.29885057471264,0,0,0,0
"4451",6039960,"MARVIN ELEMENTARY","PUBLIC",123,92.6829268292683,3.2520325203252,0,4.0650406504065,6.50406504065041,7.31707317073171,6.50406504065041,4.0650406504065,4.8780487804878
"4717",6044887,"FIESTA GARDENS INTERNATIONAL ELEMENTARY","PUBLIC",98,98.9795918367347,0,0,1.02040816326531,1.02040816326531,1.02040816326531,1.02040816326531,1.02040816326531,1.02040816326531
"3781",6113765,"CHILDREN'S COMMUNITY CHARTER","PUBLIC",22,81.8181818181818,0,0,18.1818181818182,18.1818181818182,18.1818181818182,18.1818181818182,18.1818181818182,18.1818181818182
"3138",6044234,"MEADOWS ELEMENTARY","PUBLIC",104,70.1923076923077,29.8076923076923,0,0,25,25,7.69230769230769,3.84615384615385,0.961538461538462
"412",6031017,"ALTA-DUTCH FLAT ELEMENTARY","PUBLIC",13,61.5384615384615,23.0769230769231,0,15.3846153846154,23.0769230769231,30.7692307692308,38.4615384615385,15.3846153846154,15.3846153846154
"1117",6032841,"WESTSIDE ELEMENTARY","PUBLIC",70,100,0,0,0,0,0,0,0,0
"5429",6023808,"JUAN DE ANZA ELEMENTARY","PUBLIC",116,93.9655172413793,5.17241379310345,0,0.862068965517241,5.17241379310345,6.03448275862069,5.17241379310345,1.72413793103448,0.862068965517241
"423",6046239,"CESAR CHAVEZ ELEMENTARY","PUBLIC",98,87.7551020408163,12.2448979591837,0,0,11.2244897959184,1.02040816326531,0,0,0
"6237",6965818,"ST. PASCHAL BAYLON ELEMENTARY","PRIVATE",30,90,10,0,0,10,6.66666666666667,6.66666666666667,6.66666666666667,3.33333333333333
"4609",6048672,"RIVER GLEN","PUBLIC",60,91.6666666666667,3.33333333333333,0,5,5,5,5,8.33333333333333,5
"2685",6017610,"HOLMES AVENUE ELEMENTARY","PUBLIC",52,90.3846153846154,9.61538461538462,0,0,1.92307692307692,5.76923076923077,3.84615384615385,3.84615384615385,3.84615384615385
"6656",6988224,"CYPRESS MONTESSORI ACADEMY","PRIVATE",38,100,0,0,0,0,0,0,0,0
"3434",6020929,"ESCALONA ELEMENTARY","PUBLIC",75,97.3333333333333,0,0,2.66666666666667,2.66666666666667,2.66666666666667,2.66666666666667,2.66666666666667,2.66666666666667
"4467",6040174,"SPRECKELS ELEMENTARY","PUBLIC",115,86.0869565217391,3.47826086956522,0,10.4347826086957,12.1739130434783,13.0434782608696,13.0434782608696,10.4347826086957,10.4347826086957
"3106",6108229,"CHESTER W. MORRISON ELEMENTARY","PUBLIC",103,100,0,0,0,0,0,0,0,0
"3422",6118681,"WILLIAM B. BIMAT ELEMENTARY","PUBLIC",53,84.9056603773585,5.66037735849057,0,9.43396226415094,11.3207547169811,11.3207547169811,11.3207547169811,15.0943396226415,9.43396226415094
"2686",6017636,"HOOVER STREET ELEMENTARY","PUBLIC",166,93.9759036144578,5.42168674698795,0,0.602409638554217,4.21686746987952,3.6144578313253,4.21686746987952,0.602409638554217,0.602409638554217
"6669",6990865,"HIGHLANDS CHRISTIAN SCHOOLS","PRIVATE",68,95.5882352941177,0,4.41176470588235,0,4.41176470588235,4.41176470588235,4.41176470588235,4.41176470588235,4.41176470588235
"1713",6006290,"HOMAN ELEMENTARY","PUBLIC",90,98.8888888888889,0,0,1.11111111111111,1.11111111111111,1.11111111111111,1.11111111111111,1.11111111111111,1.11111111111111
"5578",6114458,"MANUEL L. REAL ELEMENTARY","PUBLIC",115,97.3913043478261,0.869565217391304,0,1.73913043478261,2.60869565217391,2.60869565217391,2.60869565217391,2.60869565217391,2.60869565217391
"5771",6904981,"CHRISTIAN ELEMENTARY EAST","PRIVATE",33,87.8787878787879,3.03030303030303,0,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,12.1212121212121,9.09090909090909
"500",6011191,"LONGLEY WAY ELEMENTARY","PUBLIC",86,90.6976744186046,9.30232558139535,0,0,9.30232558139535,9.30232558139535,8.13953488372093,1.16279069767442,0
