"","name","pubpriv","reported"
"176","NORTH ELEMENTARY","PUBLIC","Y"
"177","SOUTH/WEST PARK ELEMENTARY","PUBLIC","Y"
"178","LOUIS J. VILLALOVOZ ELEMENTARY","PUBLIC","Y"
"179","MELVILLE S. JACOBSON ELEMENTARY","PUBLIC","Y"
"180","GLADYS POET-CHRISTIAN ELEMENTARY","PUBLIC","Y"
"181","LOUIS A. BOHN ELEMENTARY","PUBLIC","Y"
"182","WANDA HIRSCH ELEMENTARY","PUBLIC","Y"
"183","ART FREILER","PUBLIC","Y"
"184","KERMIT KING ELEMENTARY","PUBLIC","Y"
"185","GEORGIA BROWN ELEMENTARY","PUBLIC","Y"
"186","BAUER/SPECK ELEMENTARY","PUBLIC","Y"
"187","WINIFRED PIFER ELEMENTARY","PUBLIC","Y"
"188","VIRGINIA PETERSON ELEMENTARY","PUBLIC","Y"
"189","PAT BUTLER ELEMENTARY","PUBLIC","Y"
"190","CAMBRIA GRAMMAR","PUBLIC","Y"
"191","MCKINLEY ELEMENTARY","PUBLIC","Y"
"192","ALICE BIRNEY ELEMENTARY","PUBLIC","Y"
"193","GRANT ELEMENTARY","PUBLIC","Y"
"194","LAFAYETTE ELEMENTARY","PUBLIC","Y"
"195","WASHINGTON ELEMENTARY","PUBLIC","Y"
"196","HUGHSON ELEMENTARY","PUBLIC","Y"
"197","RIVERBANK LANGUAGE ACADEMY","PUBLIC","Y"
"198","MESA VERDE ELEMENTARY","PUBLIC","Y"
"199","CALIFORNIA AVENUE ELEMENTARY","PUBLIC","Y"
"200","SIERRA VIEW ELEMENTARY","PUBLIC","Y"
"201","CLOVERLAND ELEMENTARY","PUBLIC","Y"
"202","FAIR OAKS ELEMENTARY","PUBLIC","Y"
"203","MAGNOLIA ELEMENTARY","PUBLIC","Y"
"204","RICHARD M. MOON PRIMARY","PUBLIC","Y"
"205","CONNECTING WATERS CHARTER","PUBLIC","Y"
"206","SANTA FE ELEMENTARY","PUBLIC","Y"
"207","BELLEVIEW ELEMENTARY","PUBLIC","Y"
"208","JOHN J. DOYLE ELEMENTARY","PUBLIC","Y"
"209","OLIVE STREET ELEMENTARY","PUBLIC","Y"
"210","ROCHE ELEMENTARY","PUBLIC","Y"
"211","VANDALIA ELEMENTARY","PUBLIC","Y"
"212","WEST PUTNAM ELEMENTARY","PUBLIC","Y"
"213","WESTFIELD ELEMENTARY","PUBLIC","Y"
"214","LOS ROBLES ELEMENTARY","PUBLIC","Y"
"215","MONTE VISTA ELEMENTARY","PUBLIC","Y"
"216","JOHN F. KENNEDY ELEMENTARY","PUBLIC","Y"
"217","GRAND VIEW ELEMENTARY","PUBLIC","Y"
"218","JEFFERSON ELEMENTARY","PUBLIC","Y"
"219","LINCOLN ELEMENTARY","PUBLIC","Y"
"220","WILSON ELEMENTARY","PUBLIC","Y"
"221","ROOSEVELT ELEMENTARY","PUBLIC","Y"
"222","CARUTHERS ELEMENTARY","PUBLIC","Y"
"223","WEBSTER ELEMENTARY","PUBLIC","Y"
"224","SIERRA VIEW ELEMENTARY","PUBLIC","Y"
"225","LILAC","PUBLIC","Y"
"226","PAUMA ELEMENTARY","PUBLIC","Y"
"227","VALLEY CENTER PRIMARY","PUBLIC","Y"
"228","RIDGECREST CHARTER","PUBLIC","Y"
"229","NORTH FORK ELEMENTARY","PUBLIC","Y"
"230","SPRING VALLEY ELEMENTARY","PUBLIC","Y"
"231","LIVERMORE VALLEY CHARTER","PUBLIC","N"
"232","BRIGHTWOOD ELEMENTARY","PUBLIC","Y"
"233","EMERY PARK ELEMENTARY","PUBLIC","Y"
"234","FREMONT ELEMENTARY","PUBLIC","Y"
"235","GARFIELD ELEMENTARY","PUBLIC","Y"
"236","GRANADA ELEMENTARY","PUBLIC","Y"
"237","MARGUERITA ELEMENTARY","PUBLIC","Y"
"238","MARTHA BALDWIN ELEMENTARY","PUBLIC","Y"
"239","MONTEREY HIGHLANDS ELEMENTARY","PUBLIC","Y"
"240","PARK ELEMENTARY","PUBLIC","Y"
"241","RAMONA ELEMENTARY","PUBLIC","Y"
"242","REPETTO ELEMENTARY","PUBLIC","Y"
"243","WILLIAM NORTHRUP ELEMENTARY","PUBLIC","Y"
"244","YNEZ ELEMENTARY","PUBLIC","Y"
"245","SANDRA TOVAR MEDEIROS ELEMENTARY","PUBLIC","Y"
"246","WALNUT ELEMENTARY EDUCATION CENTER","PUBLIC","Y"
"247","CROWELL ELEMENTARY","PUBLIC","Y"
"248","CUNNINGHAM ELEMENTARY","PUBLIC","Y"
"249","JULIEN ELEMENTARY","PUBLIC","Y"
"250","OSBORN TWO-WAY IMMERSION ACADEMY","PUBLIC","Y"
"251","WAKEFIELD ELEMENTARY","PUBLIC","Y"
"252","WALTER M. BROWN ELEMENTARY","PUBLIC","Y"
"253","DENNIS G. EARL ELEMENTARY","PUBLIC","Y"
"254","ETNA ELEMENTARY","PUBLIC","Y"
"255","FORT JONES ELEMENTARY","PUBLIC","Y"
"256","COARSEGOLD ELEMENTARY","PUBLIC","Y"
"257","RIVERGOLD ELEMENTARY","PUBLIC","Y"
"258","MOUNTAIN HOME CHARTER (ALTERNATIVE)","PUBLIC","Y"
"259","HIGH TECH ELEMENTARY CHULA VISTA","PUBLIC","Y"
"260","HIGH TECH HIGH ELEMENTARY NORTH COUNTY","PUBLIC","Y"
"261","WEAVERVILLE ELEMENTARY","PUBLIC","Y"
"262","COMMUNITY OUTREACH ACADEMY","PUBLIC","Y"
"263","REGENCY PARK ELEMENTARY","PUBLIC","Y"
"264","HERITAGE PEAK CHARTER","PUBLIC","Y"
"265","CREATIVE CONNECTIONS ARTS ACADEMY","PUBLIC","Y"
"266","COMMUNITY COLLABORATIVE CHARTER","PUBLIC","Y"
"267","HIGHER LEARNING ACADEMY","PUBLIC","Y"
"268","DEL PASO HEIGHTS ELEMENTARY","PUBLIC","Y"
"269","FAIRBANKS ELEMENTARY","PUBLIC","Y"
"270","GARDEN VALLEY ELEMENTARY","PUBLIC","Y"
"271","MOREY AVENUE EARLY CHILDHOOD DEVELOPMENT","PUBLIC","Y"
"272","SMYTHE ACADEMY OF ARTS AND SCIENCES","PUBLIC","Y"
"273","D. W. BABCOCK ELEMENTARY","PUBLIC","Y"
"274","HAGGINWOOD ELEMENTARY","PUBLIC","N"
"275","HAZEL STRAUCH ELEMENTARY","PUBLIC","Y"
"276","MICHAEL J. CASTORI ELEMENTARY","PUBLIC","N"
"277","NORALTO ELEMENTARY","PUBLIC","Y"
"278","NORTHWOOD ELEMENTARY","PUBLIC","Y"
"279","WOODLAKE ELEMENTARY","PUBLIC","Y"
"280","WARREN A. ALLISON ELEMENTARY","PUBLIC","Y"
"281","DRY CREEK ELEMENTARY","PUBLIC","Y"
"282","FRONTIER ELEMENTARY","PUBLIC","Y"
"283","FREDERICK JOYCE ELEMENTARY","PUBLIC","Y"
"284","HILLSDALE ELEMENTARY","PUBLIC","Y"
"285","KOHLER ELEMENTARY","PUBLIC","Y"
"286","MADISON ELEMENTARY","PUBLIC","Y"
"287","OAKDALE ELEMENTARY","PUBLIC","Y"
"288","ORCHARD ELEMENTARY","PUBLIC","Y"
"289","PIONEER ELEMENTARY","PUBLIC","Y"
"290","SIERRA VIEW ELEMENTARY","PUBLIC","Y"
"291","VILLAGE ELEMENTARY","PUBLIC","Y"
"292","WESTSIDE ELEMENTARY","PUBLIC","Y"
"293","WOODRIDGE ELEMENTARY","PUBLIC","Y"
"294","RIDGEPOINT ELEMENTARY","PUBLIC","Y"
"295","FOOTHILL OAKS ELEMENTARY","PUBLIC","Y"
"296","BARACK OBAMA CHARTER","PUBLIC","Y"
"297","HAMILTON ELEMENTARY","PUBLIC","Y"
"298","DIXON MONTESSORI CHARTER","PUBLIC","Y"
"299","INGENIUM CHARTER","PUBLIC","Y"
"300","TODAY'S FRESH START CHARTER","PUBLIC","Y"
"301","ELM STREET ELEMENTARY","PUBLIC","Y"
"302","WICKLUND ELEMENTARY","PUBLIC","Y"
"303","BETHANY ELEMENTARY","PUBLIC","Y"
"304","SEBASTIAN QUESTA ELEMENTARY","PUBLIC","Y"
"305","LAMMERSVILLE ELEMENTARY","PUBLIC","Y"
"306","MISSION PREPARATORY","PUBLIC","Y"
"307","ADAMS ELEMENTARY","PUBLIC","Y"
"308","CLEVELAND ELEMENTARY","PUBLIC","Y"
"309","FRANKLIN ELEMENTARY","PUBLIC","Y"
"310","HARDING UNIVERSITY PARTNERSHIP","PUBLIC","Y"
"311","MCKINLEY ELEMENTARY","PUBLIC","Y"
"312","MONROE ELEMENTARY","PUBLIC","Y"
"313","PEABODY CHARTER","PUBLIC","Y"
"314","ROOSEVELT ELEMENTARY","PUBLIC","Y"
"315","WASHINGTON ELEMENTARY","PUBLIC","Y"
"316","SANTA BARBARA CHARTER","PUBLIC","Y"
"317","SANTA BARBARA COMMUNITY ACADEMY","PUBLIC","Y"
"318","ADELANTE CHARTER","PUBLIC","Y"
"319","W. E. B. DUBOIS PUBLIC CHARTER","PUBLIC","Y"
"320","STONEGATE ELEMENTARY","PUBLIC","Y"
"321","RIVERBANK ELEMENTARY","PUBLIC","Y"
"322","ANCHOR ACADEMY CHARTER","PUBLIC","Y"
"323","SACRAMENTO VALLEY CHARTER","PUBLIC","Y"
"324","AMERICAN UNION ELEMENTARY","PUBLIC","Y"
"325","WEST FRESNO ELEMENTARY","PUBLIC","Y"
"326","ELKHORN VILLAGE ELEMENTARY","PUBLIC","Y"
"327","WESTFIELD VILLAGE ELEMENTARY","PUBLIC","Y"
"328","WESTMORE OAKS ELEMENTARY","PUBLIC","Y"
"329","SOUTHPORT ELEMENTARY","PUBLIC","Y"
"330","BRIDGEWAY ISLAND ELEMENTARY","PUBLIC","Y"
"331","FRANCIS J. WHITE LEARNING CENTER","PUBLIC","Y"
"332","REDWOOD PREPARATORY CHARTER","PUBLIC","Y"
"333","SOUTH FORTUNA ELEMENTARY","PUBLIC","Y"
"334","NORMAN G. AMBROSINI ELEMENTARY","PUBLIC","Y"
"335","BARBARA WEBSTER ELEMENTARY","PUBLIC","Y"
"336","BLANCHARD ELEMENTARY","PUBLIC","Y"
"337","GLEN CITY ELEMENTARY","PUBLIC","Y"
"338","GRACE S. THILLE ELEMENTARY","PUBLIC","Y"
"339","MCKEVETT ELEMENTARY","PUBLIC","Y"
"340","THELMA B. BEDELL ELEMENTARY","PUBLIC","Y"
"341","LINCOLN ELEMENTARY","PUBLIC","Y"
"342","ROCKY HILL ELEMENTARY","PUBLIC","Y"
"343","ALOHA ELEMENTARY","PUBLIC","Y"
"344","CHARLES J. CARVER ELEMENTARY","PUBLIC","Y"
"345","ELLA P. MELBOURNE ELEMENTARY","PUBLIC","Y"
"346","HAWAIIAN ELEMENTARY","PUBLIC","Y"
"347","JOHN F. KENNEDY ELEMENTARY","PUBLIC","Y"
"348","JOHN H. NIEMES ELEMENTARY","PUBLIC","Y"
"349","LUTHER BURBANK ELEMENTARY","PUBLIC","Y"
"350","PALMS ELEMENTARY","PUBLIC","Y"
"351","VENN W. FURGESON ELEMENTARY","PUBLIC","Y"
"352","WILLIAM F. ELLIOTT ELEMENTARY","PUBLIC","Y"
"353","WILLOW ELEMENTARY","PUBLIC","Y"
"354","CECIL B. STOWERS ELEMENTARY","PUBLIC","Y"
"355","CERRITOS ELEMENTARY","PUBLIC","Y"
"356","BENITO JUAREZ ELEMENTARY","PUBLIC","Y"
"357","BRAGG ELEMENTARY","PUBLIC","Y"
"358","FRANK C. LEAL ELEMENTARY","PUBLIC","Y"
"359","JOE A. GONSALVES ELEMENTARY","PUBLIC","Y"
"360","HELEN WITTMANN ELEMENTARY","PUBLIC","Y"
"361","PATRICIA NIXON ELEMENTARY","PUBLIC","Y"
"362","BOWMAN CHARTER","PUBLIC","Y"
"363","GEORGE VISUAL AND PERFORMING ARTS MAGNET AND MIDDLE","PUBLIC","Y"
"364","THEODORE VICK ELEMENTARY","PUBLIC","Y"
"365","VICTORIA MAGATHAN ELEMENTARY","PUBLIC","Y"
